year,country_iso_code,co2_including_luc,co2_including_luc_per_capita,co2_including_luc_growth_abs,cement_co2,cement_co2_per_capita,cumulative_cement_co2,coal_co2,coal_co2_per_capita,cumulative_coal_co2,flaring_co2,flaring_co2_per_capita,cumulative_flaring_co2,gas_co2,gas_co2_per_capita,cumulative_gas_co2,land_use_change_co2,land_use_change_co2_per_capita,cumulative_luc_co2,oil_co2,oil_co2_per_capita,cumulative_oil_co2,other_industry_co2,other_co2_per_capita,cumulative_other_co2
2000,AFG,0.864,0.044,-0.154,0.01,0.001,1.969,0.004,0,11.851,0.022,0.001,5.934,0.224,0.011,13.897,-0.183,-0.009,836.015,0.788,0.04,38.798,,,
2001,AFG,1.948,0.099,1.085,0.007,0,1.975,0.07,0.004,11.921,0.022,0.001,5.956,0.209,0.011,14.106,0.879,0.045,836.894,0.762,0.039,39.56,,,
2002,AFG,9.475,0.451,7.527,0.011,0.001,1.986,0.055,0.003,11.976,0,0,5.956,0.547,0.026,14.653,8.134,0.387,845.028,0.727,0.035,40.288,,,
2003,AFG,5.773,0.255,-3.702,0.01,0,1.996,0.092,0.004,12.068,0,0,5.956,0.466,0.021,15.12,4.214,0.186,849.242,0.992,0.044,41.279,,,
2004,AFG,3.692,0.157,-2.081,0.01,0,2.006,0.092,0.004,12.159,0,0,5.956,0.227,0.01,15.347,2.455,0.104,851.697,0.909,0.039,42.188,,,
2005,AFG,3.355,0.137,-0.337,0.006,0,2.012,0.106,0.004,12.266,0,0,5.956,0.33,0.014,15.677,1.466,0.06,853.162,1.447,0.059,43.635,,,
2006,AFG,3.442,0.135,0.087,0.012,0,2.024,0.161,0.006,12.427,0,0,5.956,0.329,0.013,16.006,1.282,0.05,854.445,1.657,0.065,45.292,,,
2007,AFG,3.716,0.143,0.274,0.012,0,2.036,0.747,0.029,13.174,0,0,5.956,0.308,0.012,16.314,0.916,0.035,855.361,1.733,0.067,47.025,,,
2008,AFG,5.061,0.191,1.345,0.015,0.001,2.051,1.078,0.041,14.252,0,0,5.956,0.297,0.011,16.611,0.806,0.031,856.167,2.864,0.108,49.889,,,
2009,AFG,7.051,0.257,1.991,0.013,0,2.064,1.514,0.055,15.766,0,0,5.956,0.271,0.01,16.882,0.66,0.024,856.826,4.594,0.168,54.483,,,
2010,AFG,8.878,0.315,1.826,0.015,0.001,2.079,2.246,0.08,18.012,0,0,5.956,0.271,0.01,17.153,0.513,0.018,857.339,5.833,0.207,60.316,,,
2011,AFG,12.278,0.42,3.4,0.015,0,2.093,4.181,0.143,22.193,0,0,5.956,0.308,0.011,17.461,0.44,0.015,857.779,7.335,0.251,67.651,,,
2012,AFG,10.475,0.344,-1.803,0.029,0.001,2.122,3.125,0.103,25.318,0,0,5.956,0.308,0.01,17.769,0.44,0.014,858.219,6.573,0.216,74.225,,,
2013,AFG,9.47,0.3,-1.005,0.036,0.001,2.158,3.327,0.105,28.645,0,0,5.956,0.297,0.009,18.065,0.22,0.007,858.439,5.591,0.177,79.816,,,
2014,AFG,9.28,0.284,-0.19,0.029,0.001,2.186,3.706,0.113,32.351,0,0,5.956,0.271,0.008,18.337,0.11,0.003,858.548,5.165,0.158,84.981,,,
2015,AFG,10.194,0.302,0.914,0.041,0.001,2.228,2.843,0.084,35.194,0,0,5.956,0.282,0.008,18.619,0.403,0.012,858.952,6.625,0.196,91.605,,,
2016,AFG,9.507,0.274,-0.687,0.076,0.002,2.304,2.879,0.083,38.073,0,0,5.956,0.319,0.009,18.937,0.44,0.013,859.391,5.794,0.167,97.399,,,
2017,AFG,10.234,0.287,0.727,0.045,0.001,2.349,3.448,0.097,41.521,0,0,5.956,0.3,0.008,19.238,0.366,0.01,859.758,6.075,0.17,103.474,,,
2018,AFG,11.148,0.304,0.913,0.057,0.002,2.405,3.847,0.105,45.368,0,0,5.956,0.293,0.008,19.531,0.33,0.009,860.087,6.621,0.18,110.095,,,
2019,AFG,11.411,0.302,0.264,0.038,0.001,2.444,3.955,0.105,49.323,0,0,5.956,0.246,0.007,19.777,0.33,0.009,860.417,6.843,0.181,116.938,,,
2020,AFG,12.012,0.308,0.6,0.061,0.002,2.504,4.15,0.106,53.473,0,0,5.956,0.251,0.006,20.028,0.33,0.008,860.747,7.22,0.185,124.158,,,
2021,AFG,12.241,0.305,0.229,0.012,0,2.517,4.204,0.105,57.676,0,0,5.956,0.239,0.006,20.267,0.366,0.009,861.113,7.42,0.185,131.577,,,
2000,ALA,,,,,,,,,,,,,,,,-0.037,,5.569,,,,,,
2001,ALA,,,,,,,,,,,,,,,,-0.037,,5.533,,,,,,
2002,ALA,,,,,,,,,,,,,,,,-0.037,,5.496,,,,,,
2003,ALA,,,,,,,,,,,,,,,,-0.037,,5.459,,,,,,
2004,ALA,,,,,,,,,,,,,,,,0,,5.459,,,,,,
2005,ALA,,,,,,,,,,,,,,,,0,,5.459,,,,,,
2006,ALA,,,,,,,,,,,,,,,,0,,5.459,,,,,,
2007,ALA,,,,,,,,,,,,,,,,-0.037,,5.423,,,,,,
2008,ALA,,,,,,,,,,,,,,,,0,,5.423,,,,,,
2009,ALA,,,,,,,,,,,,,,,,-0.037,,5.386,,,,,,
2010,ALA,,,,,,,,,,,,,,,,-0.037,,5.349,,,,,,
2011,ALA,,,,,,,,,,,,,,,,-0.037,,5.313,,,,,,
2012,ALA,,,,,,,,,,,,,,,,-0.037,,5.276,,,,,,
2013,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2014,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2015,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2016,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2017,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2018,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2019,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2020,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2021,ALA,,,,,,,,,,,,,,,,0,,5.276,,,,,,
2000,ALB,2.732,0.859,0.039,0.094,0.029,9.669,0.07,0.022,60.235,0,0,0,0.022,0.007,15.367,-0.293,-0.092,440.34,2.84,0.892,111.771,,,
2001,ALB,2.964,0.94,0.232,0,0,9.669,0.081,0.026,60.316,0,0,0,0.015,0.005,15.382,-0.256,-0.081,440.083,3.125,0.991,114.896,,,
2002,ALB,3.345,1.071,0.381,0,0,9.669,0.084,0.027,60.4,0,0,0,0.026,0.008,15.407,-0.403,-0.129,439.68,3.638,1.165,118.535,,,
2003,ALB,4.34,1.403,0.995,0.302,0.098,9.971,0.084,0.027,60.484,0,0,0,0.026,0.008,15.433,0.037,0.012,439.717,3.891,1.258,122.426,,,
2004,ALB,3.481,1.136,-0.86,0.3,0.098,10.272,0.084,0.028,60.568,0,0,0,0.033,0.011,15.466,-0.696,-0.227,439.02,3.759,1.227,126.185,,,
2005,ALB,6.68,2.203,3.199,0.256,0.085,10.528,0.073,0.024,60.642,0,0,0,0.022,0.007,15.488,2.418,0.797,441.439,3.91,1.289,130.095,,,
2006,ALB,4.24,1.412,-2.439,0.276,0.092,10.804,0.073,0.024,60.715,0,0,0,0.022,0.007,15.51,0.33,0.11,441.768,3.54,1.179,133.634,,,
2007,ALB,6.77,2.275,2.53,0.468,0.157,11.272,0.073,0.025,60.788,0,0,0,0.033,0.011,15.543,2.821,0.948,444.59,3.375,1.134,137.009,,,
2008,ALB,6.522,2.21,-0.248,0.484,0.164,11.756,0.103,0.035,60.891,0,0,0,0.015,0.005,15.558,2.125,0.72,446.715,3.796,1.286,140.805,,,
2009,ALB,5.579,1.904,-0.943,0.585,0.2,12.341,0.388,0.133,61.279,0,0,0,0.018,0.006,15.576,1.172,0.4,447.887,3.415,1.165,144.22,,,
2010,ALB,5.443,1.868,-0.136,0.838,0.288,13.178,0.429,0.147,61.708,0,0,0,0.026,0.009,15.602,0.66,0.226,448.547,3.492,1.199,147.712,,,
2011,ALB,6.231,2.148,0.787,0.976,0.337,14.155,0.535,0.184,62.243,0,0,0,0.029,0.01,15.631,0.916,0.316,449.463,3.774,1.301,151.486,,,
2012,ALB,5.693,1.968,-0.538,1.039,0.359,15.194,0.627,0.217,62.869,0,0,0,0.029,0.01,15.66,0.843,0.291,450.306,3.155,1.091,154.641,,,
2013,ALB,5.837,2.022,0.144,1.129,0.391,16.323,0.795,0.275,63.664,0,0,0,0.033,0.011,15.693,0.55,0.19,450.855,3.331,1.154,157.971,,,
2014,ALB,6.696,2.322,0.859,1.045,0.362,17.368,1.029,0.357,64.693,0.012,0.004,0.012,0.059,0.02,15.752,0.696,0.241,451.551,3.856,1.337,161.827,,,
2015,ALB,5.885,2.042,-0.811,0.954,0.331,18.322,0.322,0.112,65.016,0.035,0.012,0.047,0.062,0.022,15.814,1.172,0.407,452.724,3.338,1.158,165.165,,,
2016,ALB,5.145,1.786,-0.74,0.88,0.306,19.202,0.191,0.066,65.206,0.04,0.014,0.087,0.161,0.056,15.975,0.513,0.178,453.237,3.36,1.166,168.525,,,
2017,ALB,6.04,2.098,0.896,1.011,0.351,20.214,0.275,0.095,65.481,0.031,0.011,0.118,0.168,0.058,16.144,0.476,0.165,453.713,4.079,1.417,172.603,,,
2018,ALB,5.314,1.847,-0.727,1.017,0.353,21.231,0.473,0.164,65.953,0.014,0.005,0.132,0.15,0.052,16.294,0.33,0.115,454.043,3.331,1.158,175.934,,,
2019,ALB,5.167,1.798,-0.146,1.048,0.365,22.279,0.322,0.112,66.276,0.004,0.002,0.136,0.132,0.046,16.426,0.22,0.076,454.263,3.44,1.197,179.375,,,
2020,ALB,4.802,1.675,-0.365,1.048,0.366,23.327,0.331,0.116,66.607,0,0,0.136,0.131,0.046,16.557,0.073,0.026,454.336,3.218,1.122,182.592,,,
2021,ALB,4.582,1.605,-0.219,1.048,0.367,24.375,0.174,0.061,66.782,0,0,0.136,0.15,0.053,16.707,-0.037,-0.013,454.299,3.246,1.137,185.838,,,
2000,DZA,87.277,2.836,-7.579,3.789,0.123,78.05,1.96,0.064,84.958,11.109,0.361,441.168,38.534,1.252,800.874,5.056,0.164,1156.945,26.828,0.872,708.332,,,
2001,DZA,89.386,2.865,2.109,3.766,0.121,81.816,2.096,0.067,87.054,8.431,0.27,449.598,41.029,1.315,841.904,5.606,0.18,1162.551,28.458,0.912,736.79,,,
2002,DZA,96.075,3.038,6.689,4.058,0.128,85.874,2.609,0.082,89.663,8.592,0.272,458.191,44.653,1.412,886.557,6.668,0.211,1169.219,29.495,0.933,766.286,,,
2003,DZA,99.146,3.093,3.07,4.032,0.126,89.906,2.788,0.087,92.451,8.259,0.258,466.449,44.027,1.373,930.583,8.097,0.253,1177.317,31.943,0.996,798.228,,,
2004,DZA,94.046,2.893,-5.1,4.897,0.151,94.802,1.924,0.059,94.375,7.006,0.215,473.455,41.209,1.268,971.792,6.192,0.19,1183.509,32.818,1.009,831.047,,,
2005,DZA,111.676,3.389,17.63,5.662,0.172,100.464,2.363,0.072,96.738,6.185,0.188,479.64,61.211,1.857,1033.003,5.203,0.158,1188.712,31.052,0.942,862.099,,,
2006,DZA,104.636,3.13,-7.039,6.54,0.196,107.004,2.7,0.081,99.438,6.423,0.192,486.063,49.306,1.475,1082.31,4.433,0.133,1193.145,35.233,1.054,897.332,,,
2007,DZA,112.249,3.303,7.613,7.001,0.206,114.005,3.012,0.089,102.45,8.991,0.265,495.054,51.076,1.503,1133.386,3.847,0.113,1196.992,38.322,1.128,935.654,,,
2008,DZA,113.282,3.277,1.033,7.583,0.219,121.588,3.008,0.087,105.458,9.527,0.276,504.581,51.551,1.491,1184.936,4.25,0.123,1201.242,37.363,1.081,973.017,,,
2009,DZA,124.325,3.532,11.043,8.22,0.234,129.808,1.594,0.045,107.052,10.585,0.301,515.166,54.894,1.56,1239.83,4.14,0.118,1205.383,44.891,1.275,1017.908,,,
2010,DZA,121.221,3.381,-3.105,8.252,0.23,138.061,1.216,0.034,108.269,9.611,0.268,524.777,53.368,1.488,1293.198,3.408,0.095,1208.79,45.365,1.265,1063.274,,,
2011,DZA,122.629,3.356,1.408,8.187,0.224,146.248,1.048,0.029,109.317,6.932,0.19,531.709,56.721,1.552,1349.919,2.821,0.077,1211.612,46.92,1.284,1110.194,,,
2012,DZA,138.459,3.716,15.83,7.697,0.207,153.945,1.037,0.028,110.353,14.287,0.383,545.996,64.114,1.721,1414.033,2.785,0.075,1214.396,48.539,1.303,1158.733,,,
2013,DZA,144.047,3.791,5.588,7.298,0.192,161.243,0.725,0.019,111.079,15.394,0.405,561.39,65.45,1.722,1479.483,3.261,0.086,1217.657,51.919,1.366,1210.652,,,
2014,DZA,153.774,3.967,9.727,7.668,0.198,168.911,0.546,0.014,111.625,16.353,0.422,577.743,73.831,1.905,1553.315,2.492,0.064,1220.149,52.885,1.364,1263.537,,,
2015,DZA,162.213,4.102,8.438,8.062,0.204,176.973,0.502,0.013,112.127,17.165,0.434,594.907,78.769,1.992,1632.083,2.125,0.054,1222.274,55.59,1.406,1319.127,,,
2016,DZA,161.35,4,-0.863,9.372,0.232,186.345,0,0,112.127,16.073,0.398,610.98,78.677,1.95,1710.761,2.601,0.064,1224.875,54.627,1.354,1373.753,,,
2017,DZA,168.756,4.102,7.407,11.406,0.277,197.751,0.795,0.019,112.922,16.55,0.402,627.53,82.352,2.002,1793.113,2.345,0.057,1227.22,55.308,1.344,1429.061,,,
2018,DZA,176.147,4.201,7.39,12.382,0.295,210.133,1.33,0.032,114.252,16.391,0.391,643.921,88.887,2.12,1881.999,2.235,0.053,1229.455,54.922,1.31,1483.984,,,
2019,DZA,181.667,4.254,5.52,11.028,0.258,221.161,1.096,0.026,115.347,16.974,0.397,660.895,91.25,2.137,1973.249,2.162,0.051,1231.617,59.158,1.385,1543.141,,,
2020,DZA,174.593,4.018,-7.074,11.028,0.254,232.189,1.099,0.025,116.446,17.53,0.403,678.424,88.308,2.032,2061.558,2.088,0.048,1233.705,54.54,1.255,1597.681,,,
2021,DZA,178.321,4.036,3.728,11.028,0.25,243.217,1.096,0.025,117.541,15.333,0.347,693.757,92.792,2.1,2154.349,2.052,0.046,1235.757,56.021,1.268,1653.702,,,
2000,ASM,,,,,,,,,,,,,,,,0.037,,0.33,,,,,,
2001,ASM,,,,,,,,,,,,,,,,0.037,,0.366,,,,,,
2002,ASM,,,,,,,,,,,,,,,,0.037,,0.403,,,,,,
2003,ASM,,,,,,,,,,,,,,,,0.037,,0.44,,,,,,
2004,ASM,,,,,,,,,,,,,,,,0,,0.44,,,,,,
2005,ASM,,,,,,,,,,,,,,,,0.037,,0.476,,,,,,
2006,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2007,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2008,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2009,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2010,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2011,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2012,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2013,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2014,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2015,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2016,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2017,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2018,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2019,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2020,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2021,ASM,,,,,,,,,,,,,,,,0,,0.476,,,,,,
2000,AND,0.561,8.479,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.554,0.513,0.524,7.925,4.91,,,
2001,AND,0.561,8.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.54,0.55,0.524,7.723,5.434,,,
2002,AND,0.568,8.014,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.517,0.586,0.531,7.497,5.965,,,
2003,AND,0.572,7.732,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.496,0.623,0.535,7.236,6.5,,,
2004,AND,0.597,7.761,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.476,0.66,0.561,7.285,7.061,,,
2005,AND,0.612,7.663,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.459,0.696,0.575,7.205,7.636,,,
2006,AND,0.583,7.26,-0.029,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.457,0.733,0.546,6.804,8.182,,,
2007,AND,0.575,7.357,-0.007,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.469,0.769,0.539,6.889,8.72,,,
2008,AND,0.575,7.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.482,0.806,0.539,7.08,9.259,,,
2009,AND,0.517,6.993,-0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.517,6.993,9.776,,,
2010,AND,0.517,7.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.517,7.221,10.292,,,
2011,AND,0.491,6.956,-0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.491,6.956,10.783,,,
2012,AND,0.487,6.86,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.487,6.86,11.27,,,
2013,AND,0.476,6.673,-0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.476,6.673,11.747,,,
2014,AND,0.462,6.444,-0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.462,6.444,12.208,,,
2015,AND,0.465,6.484,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.465,6.484,12.674,,,
2016,AND,0.469,6.463,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.469,6.463,13.143,,,
2017,AND,0.465,6.301,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.465,6.301,13.608,,,
2018,AND,0.495,6.592,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.495,6.592,14.103,,,
2019,AND,0.48,6.286,-0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.48,6.286,14.583,,,
2020,AND,0.449,5.775,-0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.449,5.775,15.032,,,
2021,AND,0.453,5.729,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.453,5.729,15.484,,,
2000,AGO,39.744,2.424,6.651,0.081,0.005,7.103,0,0,1.601,4.683,0.286,68.065,1.085,0.066,15.025,30.228,1.844,8807.084,3.668,0.224,98.346,,,
2001,AGO,57.743,3.408,17.999,0.221,0.013,7.325,0,0,1.601,4.159,0.245,72.224,0.989,0.058,16.014,48.072,2.837,8855.155,4.302,0.254,102.647,,,
2002,AGO,70.782,4.041,13.04,0.239,0.014,7.564,0,0,1.601,6.181,0.353,78.405,1.158,0.066,17.172,58.184,3.322,8913.34,5.02,0.287,107.667,,,
2003,AGO,61.348,3.385,-9.435,0.28,0.015,7.844,0,0,1.601,0.656,0.036,79.061,1.216,0.067,18.388,52.359,2.889,8965.698,6.837,0.377,114.504,,,
2004,AGO,66.882,3.563,5.535,0.3,0.016,8.144,0,0,1.601,11.926,0.635,90.987,1.44,0.077,19.828,48.182,2.567,9013.88,5.034,0.268,119.538,,,
2005,AGO,68.104,3.501,1.221,0.521,0.027,8.665,0,0,1.601,12.502,0.643,103.489,1.249,0.064,21.077,49.098,2.524,9062.978,4.734,0.243,124.272,,,
2006,AGO,73.214,3.631,5.111,0.539,0.027,9.204,0,0,1.601,12.502,0.62,115.99,1.304,0.065,22.382,51.113,2.535,9114.091,7.757,0.385,132.029,,,
2007,AGO,118.336,5.659,45.122,0.542,0.026,9.746,0,0,1.601,14.04,0.671,130.031,1.594,0.076,23.976,93.359,4.465,9207.448,8.801,0.421,140.83,,,
2008,AGO,166.624,7.682,48.288,0.685,0.032,10.431,0,0,1.601,13.311,0.614,143.342,1.271,0.059,25.247,141.137,6.507,9348.587,10.219,0.471,151.049,,,
2009,AGO,176.067,7.823,9.443,0.693,0.031,11.124,0,0,1.601,13.286,0.59,156.628,1.29,0.057,26.537,148.502,6.598,9497.088,12.296,0.546,163.345,,,
2010,AGO,192.902,8.256,16.835,0.578,0.025,11.702,0,0,1.601,13.546,0.58,170.174,1.37,0.059,27.907,164.037,7.021,9661.126,13.37,0.572,176.715,,,
2011,AGO,160.438,6.614,-32.463,0.765,0.032,12.467,0,0,1.601,13.817,0.57,183.991,1.403,0.058,29.31,130.109,5.363,9791.234,14.345,0.591,191.06,,,
2012,AGO,140.663,5.584,-19.776,1.147,0.046,13.614,0,0,1.601,5.703,0.226,189.693,1.422,0.056,30.732,115.123,4.57,9906.357,17.268,0.686,208.328,,,
2013,AGO,124.636,4.767,-16.027,1.557,0.06,15.171,0,0,1.601,4.955,0.19,194.649,0.766,0.029,31.498,99.917,3.821,10006.274,17.441,0.667,225.769,,,
2014,AGO,111.105,4.096,-13.531,1.976,0.073,17.147,0,0,1.601,5.113,0.188,199.762,0.579,0.021,32.077,85.957,3.169,10092.231,17.479,0.644,243.248,,,
2015,AGO,116.435,4.14,5.33,2.03,0.072,19.178,0,0,1.601,4.763,0.169,204.525,1.44,0.051,33.517,90.904,3.232,10183.135,17.298,0.615,260.546,,,
2016,AGO,109.54,3.757,-6.895,1.5,0.051,20.677,0,0,1.601,8.299,0.285,212.824,1.495,0.051,35.012,82.33,2.824,10265.466,15.916,0.546,276.462,,,
2017,AGO,102.091,3.38,-7.449,0.996,0.033,21.673,0,0,1.601,7.145,0.237,219.968,1.572,0.052,36.583,77.787,2.575,10343.252,14.592,0.483,291.054,,,
2018,AGO,98.001,3.134,-4.089,1.046,0.033,22.72,0,0,1.601,5.251,0.168,225.22,1.608,0.051,38.192,75.222,2.405,10418.474,14.874,0.476,305.928,,,
2019,AGO,93.083,2.877,-4.919,1.124,0.035,23.843,0,0,1.601,4.371,0.135,229.591,2.429,0.075,40.621,71.265,2.203,10489.739,13.894,0.429,319.821,,,
2020,AGO,90.405,2.704,-2.678,1.124,0.034,24.967,0,0,1.601,3.509,0.105,233.1,2.54,0.076,43.161,70.129,2.098,10559.868,13.103,0.392,332.925,,,
2021,AGO,90.283,2.617,-0.122,1.124,0.033,26.091,0,0,1.601,3.386,0.098,236.486,2.951,0.086,46.112,68.92,1.997,10628.787,13.902,0.403,346.826,,,
2000,AIA,0.088,7.943,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,7.943,0.74,,,
2001,AIA,0.095,8.381,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,8.381,0.835,,,
2002,AIA,0.095,8.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,8.224,0.931,,,
2003,AIA,0.103,8.723,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,8.723,1.033,,,
2004,AIA,0.121,10.112,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,10.112,1.154,,,
2005,AIA,0.128,10.556,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,10.556,1.282,,,
2006,AIA,0.143,11.573,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,11.573,1.425,,,
2007,AIA,0.15,11.974,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,11.974,1.576,,,
2008,AIA,0.15,11.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,11.779,1.726,,,
2009,AIA,0.147,11.3,-0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,11.3,1.872,,,
2010,AIA,0.15,11.388,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,11.388,2.023,,,
2011,AIA,0.143,10.693,-0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,10.693,2.165,,,
2012,AIA,0.143,10.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,10.601,2.308,,,
2013,AIA,0.117,8.541,-0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,8.541,2.426,,,
2014,AIA,0.139,9.845,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,9.845,2.565,,,
2015,AIA,0.154,10.574,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,10.574,2.719,,,
2016,AIA,0.154,10.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,10.368,2.873,,,
2017,AIA,0.143,9.501,-0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,9.501,3.015,,,
2018,AIA,0.143,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,9.4,3.158,,,
2019,AIA,0.154,9.988,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,9.988,3.312,,,
2020,AIA,0.131,8.416,-0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,8.416,3.444,,,
2021,AIA,0.145,9.173,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,9.173,3.588,,,
2000,ATA,,,,0,,0,0,,0,0,,0,0,,0,,,,0.004,,0.11,,,
2001,ATA,,,,0,,0,0,,0,0,,0,0,,0,,,,0.004,,0.114,,,
2002,ATA,,,,0,,0,0,,0,0,,0,0,,0,,,,0.004,,0.117,,,
2003,ATA,,,,0,,0,0,,0,0,,0,0,,0,,,,0.004,,0.121,,,
2004,ATA,,,,0,,0,0,,0,0,,0,0,,0,,,,0.007,,0.128,,,
2005,ATA,,,,0,,0,0,,0,0,,0,0,,0,,,,0.007,,0.136,,,
2006,ATA,,,,0,,0,0,,0,0,,0,0,,0,,,,0.007,,0.143,,,
2007,ATA,,,,0,,0,0,,0,0,,0,0,,0,,,,0.011,,0.154,,,
2008,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2009,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2010,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2011,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2012,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2013,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2014,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2015,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2016,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2017,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2018,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2019,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2020,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2021,ATA,,,,,,,,,,,,,,,,,,,,,,,,
2000,ATG,0.256,3.417,0.011,0,0,0,0,0,0,0,0,0,0,0,0,-0.037,-0.488,-7.804,0.293,3.905,13,,,
2001,ATG,0.26,3.413,0.004,0,0,0,0,0,0,0,0,0,0,0,0,-0.037,-0.481,-7.841,0.297,3.893,13.297,,,
2002,ATG,0.293,3.796,0.033,0,0,0,0,0,0,0,0,0,0,0,0,-0.037,-0.475,-7.878,0.33,4.271,13.626,,,
2003,ATG,0.315,4.035,0.022,0,0,0,0,0,0,0,0,0,0,0,0,-0.037,-0.469,-7.914,0.352,4.504,13.978,,,
2004,ATG,0.33,4.177,0.015,0,0,0,0,0,0,0,0,0,0,0,0,-0.037,-0.464,-7.951,0.366,4.641,14.345,,,
