country_iso_code,year,temperature_change
AUT,2018,2.524
AUT,2019,2.37
AUT,2020,2.315
AUT,2021,1.395
AUT,2022,2.498
AZE,2000,1.098
AZE,2001,1.401
AZE,2002,1.432
AZE,2003,-0.147
AZE,2004,1.303
AZE,2005,0.814
AZE,2006,1.488
AZE,2007,0.958
AZE,2008,0.883
AZE,2009,0.78
AZE,2010,2.327
AZE,2011,0.766
AZE,2012,1.474
AZE,2013,1.574
AZE,2014,1.252
AZE,2015,1.672
AZE,2016,1.53
AZE,2017,1.308
AZE,2018,2.24
AZE,2019,1.997
AZE,2020,2.015
AZE,2021,2.061
AZE,2022,2.08
BHS,2000,0.163
BHS,2001,0.135
BHS,2002,0.856
BHS,2003,0.989
BHS,2004,0.311
BHS,2005,0.455
BHS,2006,0.385
BHS,2007,0.937
BHS,2008,0.842
BHS,2009,0.41
BHS,2010,0.314
BHS,2011,0.363
BHS,2012,0.344
BHS,2013,0.565
BHS,2014,0.883
BHS,2015,1.114
BHS,2016,1.042
BHS,2017,1.331
BHS,2018,1.023
BHS,2019,1.443
BHS,2020,1.611
BHS,2021,0.879
BHS,2022,1.48
BHR,2000,1.119
BHR,2001,1.216
BHR,2002,1.552
BHR,2003,1.256
BHR,2004,1.385
BHR,2005,1.065
BHR,2006,1.823
BHR,2007,1.08
BHR,2008,1.329
BHR,2009,1.224
BHR,2010,2.286
BHR,2011,1.431
BHR,2012,1.385
BHR,2013,1.403
BHR,2014,1.694
BHR,2015,2.24
BHR,2016,1.598
BHR,2017,2.08
BHR,2018,2.247
BHR,2019,2.108
BHR,2020,2.027
BHR,2021,2.464
BHR,2022,2.017
BGD,2000,0.226
BGD,2001,0.316
BGD,2002,0.398
BGD,2003,0.239
BGD,2004,0.269
BGD,2005,0.592
BGD,2006,0.814
BGD,2007,0.266
BGD,2008,0.093
BGD,2009,0.844
BGD,2010,0.768
BGD,2011,0.144
BGD,2012,0.235
BGD,2013,0.23
BGD,2014,0.482
BGD,2015,0.722
BGD,2016,1.337
BGD,2017,1.124
BGD,2018,0.881
BGD,2019,1.136
BGD,2020,0.898
BGD,2021,1.3
BGD,2022,1.216
BRB,2000,0.303
BRB,2001,0.506
BRB,2002,0.546
BRB,2003,0.888
BRB,2004,0.7
BRB,2005,1.13
BRB,2006,0.844
BRB,2007,0.679
BRB,2008,0.316
BRB,2009,0.429
BRB,2010,1.147
BRB,2011,0.677
BRB,2012,0.488
BRB,2013,0.778
BRB,2014,0.418
BRB,2015,0.868
BRB,2016,
BRB,2017,
BRB,2018,
BRB,2019,
BRB,2020,
BRB,2021,
BRB,2022,
BLR,2000,1.941
BLR,2001,1.979
BLR,2002,1.892
BLR,2003,0.084
BLR,2004,0.931
BLR,2005,1.276
BLR,2006,0.647
BLR,2007,2.362
BLR,2008,2.254
BLR,2009,1.603
BLR,2010,1.461
BLR,2011,1.017
BLR,2012,1.561
BLR,2013,1.212
BLR,2014,2.18
BLR,2015,2.247
BLR,2016,2.201
BLR,2017,1.592
BLR,2018,2.342
BLR,2019,2.689
BLR,2020,3.51
BLR,2021,1.728
BLR,2022,1.922
BEL,2000,1.484
BEL,2001,1.336
BEL,2002,1.398
BEL,2003,1.526
BEL,2004,1.089
BEL,2005,1.197
BEL,2006,1.404
BEL,2007,1.883
BEL,2008,1.256
BEL,2009,1.158
BEL,2010,0.233
BEL,2011,1.289
BEL,2012,1.13
BEL,2013,0.463
BEL,2014,2.417
BEL,2015,1.371
BEL,2016,1.882
BEL,2017,1.731
BEL,2018,2.196
BEL,2019,2.081
BEL,2020,2.572
BEL,2021,1.203
BEL,2022,2.807
BLZ,2000,0.175
BLZ,2001,0.445
BLZ,2002,0.733
BLZ,2003,0.948
BLZ,2004,0.701
BLZ,2005,0.849
BLZ,2006,0.655
BLZ,2007,0.85
BLZ,2008,0.579
BLZ,2009,0.922
BLZ,2010,0.843
BLZ,2011,0.724
BLZ,2012,0.644
BLZ,2013,0.785
BLZ,2014,0.697
BLZ,2015,1.502
BLZ,2016,1.446
BLZ,2017,1.342
BLZ,2018,0.85
BLZ,2019,1.556
BLZ,2020,1.716
BLZ,2021,1.286
BLZ,2022,1.031
BEN,2000,0.449
BEN,2001,0.517
BEN,2002,0.721
BEN,2003,0.936
BEN,2004,0.706
BEN,2005,1.105
BEN,2006,1.035
BEN,2007,0.806
BEN,2008,0.632
BEN,2009,0.95
BEN,2010,1.23
BEN,2011,0.949
BEN,2012,0.595
BEN,2013,0.853
BEN,2014,0.94
BEN,2015,1.111
BEN,2016,1.025
BEN,2017,1.16
BEN,2018,1.056
BEN,2019,1.147
BEN,2020,1.031
BEN,2021,1.522
BEN,2022,0.884
BTN,2000,0.214
BTN,2001,0.72
BTN,2002,0.492
BTN,2003,0.498
BTN,2004,0.476
BTN,2005,0.745
BTN,2006,0.955
BTN,2007,0.978
BTN,2008,0.555
BTN,2009,1.394
BTN,2010,1.202
BTN,2011,0.534
BTN,2012,0.512
BTN,2013,0.742
BTN,2014,0.86
BTN,2015,1.068
BTN,2016,1.487
BTN,2017,1.457
BTN,2018,1.346
BTN,2019,1.329
BTN,2020,1.09
BTN,2021,1.707
BTN,2022,1.523
BOL,2000,0.403
BOL,2001,0.653
BOL,2002,1.016
BOL,2003,0.641
BOL,2004,0.846
BOL,2005,0.764
BOL,2006,0.935
BOL,2007,0.537
BOL,2008,0.396
BOL,2009,0.658
BOL,2010,0.68
BOL,2011,1.165
BOL,2012,0.831
BOL,2013,0.507
BOL,2014,0.955
BOL,2015,1.533
BOL,2016,0.824
BOL,2017,0.981
BOL,2018,0.562
BOL,2019,0.921
BOL,2020,1.315
BOL,2021,0.738
BOL,2022,0.644
BIH,2000,1.525
BIH,2001,1.527
BIH,2002,1.141
BIH,2003,1.088
BIH,2004,0.584
BIH,2005,0.124
BIH,2006,0.594
BIH,2007,1.861
BIH,2008,1.373
BIH,2009,1.379
BIH,2010,0.954
