week,week_ending,commit,era,adapter,group,platform,tests_passed,suite_tests,test_pass_pct,functions_supported,suite_functions,function_supported_pct,tests_reported,functions_reported
2026-W12,2026-03-20,92ecab7b7e,json,Spanner,Store_Relational,compiled,309,1177,26.25,95,228,41.67,1177,228
2026-W12,2026-03-20,92ecab7b7e,json,SqlServer,Store_Relational,compiled,359,1177,30.5,100,228,43.86,1177,228
2026-W12,2026-03-20,92ecab7b7e,json,Trino,Store_Relational,compiled,519,1177,44.1,131,228,57.46,1177,228
2026-W13,2026-03-27,4a4861e0e0,json,ClickHouse,Store_Relational,compiled,551,1179,46.73,138,228,60.53,1179,228
2026-W13,2026-03-27,4a4861e0e0,json,Databricks,Store_Relational,compiled,589,1179,49.96,146,228,64.04,1179,228
2026-W13,2026-03-27,4a4861e0e0,json,Deephaven,Store_Deephaven,compiled,76,1179,6.45,29,228,12.72,678,125
2026-W13,2026-03-27,4a4861e0e0,json,DuckDB,Store_Relational,compiled,928,1179,78.71,195,228,85.53,1179,228
2026-W13,2026-03-27,4a4861e0e0,json,H2,Store_Relational,compiled,689,1179,58.44,156,228,68.42,1179,228
2026-W13,2026-03-27,4a4861e0e0,json,Java,Platform,compiled,462,1179,39.19,136,228,59.65,1091,221
2026-W13,2026-03-27,4a4861e0e0,json,MemSQL,Store_Relational,compiled,431,1179,36.56,117,228,51.32,1179,228
2026-W13,2026-03-27,4a4861e0e0,json,Native (compiled),,compiled,1173,1179,99.49,228,228,100.0,1179,228
2026-W13,2026-03-27,4a4861e0e0,json,Native (interpreted),,interpreted,1174,1179,99.58,228,228,100.0,1179,228
2026-W13,2026-03-27,4a4861e0e0,json,Oracle,Store_Relational,compiled,519,1179,44.02,122,228,53.51,1179,228
2026-W13,2026-03-27,4a4861e0e0,json,Postgres,Store_Relational,compiled,677,1179,57.42,151,228,66.23,1179,228
2026-W13,2026-03-27,4a4861e0e0,json,PythonLegendQL,Reverse_PCT,compiled,492,1179,41.73,123,228,53.95,1173,222
2026-W13,2026-03-27,4a4861e0e0,json,SQL,Reverse_PCT,compiled,470,1179,39.86,112,228,49.12,1173,222
2026-W13,2026-03-27,4a4861e0e0,json,Snowflake,Store_Relational,compiled,909,1179,77.1,194,228,85.09,1179,228
2026-W13,2026-03-27,4a4861e0e0,json,Spanner,Store_Relational,compiled,309,1179,26.21,95,228,41.67,1179,228
2026-W13,2026-03-27,4a4861e0e0,json,SqlServer,Store_Relational,compiled,361,1179,30.62,100,228,43.86,1179,228
2026-W13,2026-03-27,4a4861e0e0,json,Trino,Store_Relational,compiled,521,1179,44.19,131,228,57.46,1179,228
2026-W14,2026-04-02,5a5291a5e2,json,ClickHouse,Store_Relational,compiled,561,1199,46.79,140,230,60.87,1199,230
2026-W14,2026-04-02,5a5291a5e2,json,Databricks,Store_Relational,compiled,599,1199,49.96,148,230,64.35,1199,230
2026-W14,2026-04-02,5a5291a5e2,json,Deephaven,Store_Deephaven,compiled,76,1199,6.34,29,230,12.61,678,125
2026-W14,2026-04-02,5a5291a5e2,json,DuckDB,Store_Relational,compiled,938,1199,78.23,197,230,85.65,1199,230
2026-W14,2026-04-02,5a5291a5e2,json,H2,Store_Relational,compiled,699,1199,58.3,158,230,68.7,1199,230
2026-W14,2026-04-02,5a5291a5e2,json,Java,Platform,compiled,473,1199,39.45,138,230,60.0,1111,223
2026-W14,2026-04-02,5a5291a5e2,json,MemSQL,Store_Relational,compiled,440,1199,36.7,119,230,51.74,1199,230
2026-W14,2026-04-02,5a5291a5e2,json,Native (compiled),,compiled,1193,1199,99.5,230,230,100.0,1199,230
2026-W14,2026-04-02,5a5291a5e2,json,Native (interpreted),,interpreted,1192,1199,99.42,230,230,100.0,1199,230
2026-W14,2026-04-02,5a5291a5e2,json,Oracle,Store_Relational,compiled,527,1199,43.95,124,230,53.91,1199,230
2026-W14,2026-04-02,5a5291a5e2,json,Postgres,Store_Relational,compiled,687,1199,57.3,153,230,66.52,1199,230
2026-W14,2026-04-02,5a5291a5e2,json,PythonLegendQL,Reverse_PCT,compiled,492,1199,41.03,123,230,53.48,1193,224
2026-W14,2026-04-02,5a5291a5e2,json,PythonPandasAPI,Reverse_PCT,compiled,331,1199,27.61,99,230,43.04,1193,224
2026-W14,2026-04-02,5a5291a5e2,json,SQL,Reverse_PCT,compiled,477,1199,39.78,113,230,49.13,1193,224
2026-W14,2026-04-02,5a5291a5e2,json,Snowflake,Store_Relational,compiled,919,1199,76.65,196,230,85.22,1199,230
